Source,Target,Type,Id,Label,timeset,Weight,relationtype,endyeare
Q2181847,Q336977,Undirected,25,,,1,Significant persoon,1881
Q2617184,Q336977,Undirected,39,,,1,Significant persoon,1882
Q2638823,Q336977,Undirected,40,,,1,Significant persoon,1885
Q2672741,Q336977,Undirected,41,,,1,Significant persoon,1869
Q2779054,Q336977,Undirected,47,,,1,Significant persoon,1874
Q111336261,Q336977,Undirected,50,,,1,Significant persoon,1899
Q113675636,Q336977,Undirected,56,,,1,Significant persoon,1886
Q113925472,Q336977,Undirected,58,,,1,Significant persoon,1884
Q115818009,Q336977,Undirected,75,,,1,Significant persoon,1885
Q115819139,Q336977,Undirected,82,,,1,Significant persoon,1887
Q115831509,Q336977,Undirected,94,,,1,Significant persoon,1894
Q115835763,Q336977,Undirected,106,,,1,Significant persoon,1899
Q116508871,Q336977,Undirected,140,,,1,Significant persoon,1880
Q117244596,Q336977,Undirected,175,,,1,Significant persoon,1887
Q4722117,Q336977,Undirected,185,,,1,Significant persoon,1894
Q15461013,Q336977,Undirected,196,,,1,Significant persoon,1874
Q42196616,Q336977,Undirected,206,,,1,Significant persoon,1886
Q62117109,Q336977,Undirected,220,,,1,Significant persoon,1893
Q120793054,Q336977,Undirected,287,,,1,Significant persoon,1888
Q136750770,Q336977,Undirected,363,,,1,Significant persoon,1899
Q136760074,Q336977,Undirected,364,,,1,Significant persoon,1882
Q121078001,Q336977,Undirected,379,,,1,Significant persoon,1884
Q123722465,Q336977,Undirected,402,,,1,Significant persoon,1883
Q115839320,Q336977,Undirected,612,,,1,Significant persoon,1882
Q115839965,Q336977,Undirected,613,,,1,Significant persoon,1882
Q117244211,Q336977,Undirected,614,,,1,Significant persoon,1882
Q120897770,Q336977,Undirected,616,,,1,Significant persoon,1882
Q56036026,Q336977,Undirected,618,,,1,Significant persoon,1882
Q115838563,Q336977,Undirected,620,,,1,Significant persoon,1882
Q115812384,Q336977,Undirected,621,,,1,Significant persoon,1882
Q101627274,Q336977,Undirected,622,,,1,Significant persoon,1882
